base_addr=0x00002000 byte_count=1984
idx addr byte ascii
734 0x000022de 24 $
735 0x000022df 78 x
736 0x000022e0 67 g
737 0x000022e1 f8 .
738 0x000022e2 9b .
739 0x000022e3 3e >
740 0x000022e4 90 .
741 0x000022e5 9b .
742 0x000022e6 06 .
743 0x000022e7 c8 .
744 0x000022e8 4e N
745 0x000022e9 0f .
746 0x000022ea 04 .
747 0x000022eb 0f .
748 0x000022ec 85 .
749 0x000022ed 01 .
750 0x000022ee 12 .
751 0x000022ef 78 x
752 0x000022f0 62 b
753 0x000022f1 0a .
754 0x000022f2 4d M
755 0x000022f3 b9 .
756 0x000022f4 19 .
757 0x000022f5 38 8
758 0x000022f6 24 $
759 0x000022f7 67 g
760 0x000022f8 d0 .
761 0x000022f9 cb .
762 0x000022fa 0e .
763 0x000022fb e8 .
764 0x000022fc cf .
765 0x000022fd 06 .
766 0x000022fe f4 .
767 0x000022ff 78 x
768 0x00002300 65 e
769 0x00002301 85 .
770 0x00002302 20  
771 0x00002303 a2 .
772 0x00002304 30 0
773 0x00002305 40 @
774 0x00002306 c2 .
775 0x00002307 4c L
776 0x00002308 a9 .
777 0x00002309 29 )
778 0x0000230a 36 6
779 0x0000230b e5 .
780 0x0000230c 66 f
781 0x0000230d e0 .
782 0x0000230e 94 .
783 0x0000230f 78 x
784 0x00002310 9c .
785 0x00002311 81 .
786 0x00002312 9e .
787 0x00002313 ec .
788 0x00002314 01 .
789 0x00002315 5d ]
790 0x00002316 f6 .
791 0x00002317 81 .
792 0x00002318 36 6
793 0x00002319 bb .
794 0x0000231a 08 .
795 0x0000231b 22 "
796 0x0000231c 0a .
797 0x0000231d 04 .
798 0x0000231e 24 $
799 0x0000231f 78 x
800 0x00002320 c0 .
801 0x00002321 14 .
802 0x00002322 99 .
803 0x00002323 42 B
804 0x00002324 43 C
805 0x00002325 6e n
806 0x00002326 06 .
807 0x00002327 0e .
808 0x00002328 c9 .
809 0x00002329 19 .
810 0x0000232a 70 p
811 0x0000232b 7f .
812 0x0000232c 5a Z
813 0x0000232d 20  
814 0x0000232e 6f o
815 0x0000232f 78 x
816 0x00002330 1a .
817 0x00002331 20  
818 0x00002332 3b ;
819 0x00002333 3d =
820 0x00002334 82 .
821 0x00002335 87 .
822 0x00002336 02 .
823 0x00002337 01 .
824 0x00002338 09 .
825 0x00002339 35 5
826 0x0000233a c4 .
827 0x0000233b 86 .
828 0x0000233c dc .
829 0x0000233d 0c .
830 0x0000233e 1c .
831 0x0000233f 78 x
832 0x00002340 92 .
833 0x00002341 33 3
834 0x00002342 40 @
835 0x00002343 76 v
836 0x00002344 7a z
837 0x00002345 40 @
838 0x00002346 7e ~
839 0x00002347 1a .
840 0x00002348 20  
841 0x00002349 37 7
842 0x0000234a 7d }
843 0x0000234b c1 .
844 0x0000234c 44 D
845 0x0000234d 61 a
846 0x0000234e 80 .
847 0x0000234f 78 x
848 0x00002350 04 .
849 0x00002351 98 .
850 0x00002352 22 "
851 0x00002353 53 S
852 0x00002354 66 f
853 0x00002355 8a .
854 0x00002356 4d M
855 0x00002357 b9 .
856 0x00002358 21 !
857 0x00002359 38 8
858 0x0000235a 24 $
859 0x0000235b 67 g
860 0x0000235c 00 .
861 0x0000235d f3 .
862 0x0000235e d2 .
863 0x0000235f 78 x
864 0x00002360 02 .
865 0x00002361 73 s
866 0x00002362 d3 .
867 0x00002363 0f .
868 0x00002364 ec .
869 0x00002365 49 I
870 0x00002366 05 .
871 0x00002367 0f .
872 0x00002368 85 .
873 0x00002369 01 .
874 0x0000236a 12 .
875 0x0000236b 68 h
876 0x0000236c 48 H
877 0x0000236d 0d .
878 0x0000236e b9 .
879 0x0000236f 78 x
880 0x00002370 19 .
881 0x00002371 38 8
882 0x00002372 24 $
883 0x00002373 87 .
884 0x00002374 2c ,
885 0x00002375 70 p
886 0x00002376 cd .
887 0x00002377 1f .
888 0x00002378 d0 .
889 0x00002379 c9 .
890 0x0000237a 17 .
891 0x0000237b 68 h
892 0x0000237c 23 #
893 0x0000237d 88 .
894 0x0000237e 28 (
895 0x0000237f 78 x
896 0x00002380 10 .
897 0x00002381 90 .
898 0x00002382 10 .
899 0x00002383 53 S
900 0x00002384 6a j
901 0x00002385 8a .
902 0x00002386 0d .
903 0x00002387 b9 .
904 0x00002388 19 .
905 0x00002389 38 8
906 0x0000238a 24 $
907 0x0000238b 67 g
908 0x0000238c b4 .
909 0x0000238d 40 @
910 0x0000238e de .
911 0x0000238f 78 x
912 0x00002390 74 t
913 0x00002391 81 .
914 0x00002392 74 t
915 0x00002393 7a z
916 0x00002394 40 @
917 0x00002395 be .
918 0x00002396 20  
919 0x00002397 a2 .
920 0x00002398 30 0
921 0x00002399 40 @
922 0x0000239a 02 .
